PassengerId,Survived,Pclass,Title,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
198,0,3,Miss,female,41.2,0,0,0.3868,A78,S
199,0,3,Mr,male,43.8,4,2,3.3796,,Q
200,0,3,Mrs,female,41.3,0,2,17.7944,,S
201,1,3,Mrs,female,30.2,1,0,1.0376,,S
202,0,1,Mr,male,15.8,0,0,72.3811,F35,S
203,0,1,Rev,male,0.4,1,0,107.8761,,Q
204,0,3,Mr,male,32.0,0,0,3.0628,,S
205,0,3,Rev,male,45.4,0,1,22.2522,,S
206,0,1,Master,male,44.1,0,0,177.7012,,S
207,0,1,Mr,male,41.5,0,0,22.8313,E61,C
208,0,3,Miss,female,28.6,2,0,6.7161,,C
209,1,1,Mr,male,45.5,0,2,78.2968,,S
210,0,1,Mr,male,43.1,0,0,195.8585,,S
211,1,3,Mrs,female,,1,0,8.1728,F50,S
212,1,3,Miss,female,39.5,0,0,19.2042,,S
213,0,3,Mrs,female,21.9,3,3,11.9555,,S
214,1,1,Miss,female,37.5,1,1,41.1582,G34,S
215,1,3,Master,male,10.9,0,0,1.8563,F59,S
216,0,1,Mr,male,,1,0,35.4812,F18,S
217,1,2,Mrs,female,45.0,0,0,8.7307,E95,C
218,1,3,Miss,female,,0,0,35.8122,G59,S
219,0,3,Mr,male,38.9,0,0,20.7907,,S
220,1,3,Mrs,female,31.0,0,2,8.077,B16,S
221,0,3,Mr,male,0.4,1,0,12.406,A10,S
222,0,3,Mr,male,28.6,2,1,6.3564,,S
223,0,1,Mr,male,36.3,0,0,159.83,,C
224,0,2,Mr,male,21.9,0,0,9.7552,C22,S
225,0,2,Mr,male,19.4,3,0,8.7581,,S
226,0,2,Mr,male,50.6,0,0,17.4741,F12,S
227,1,3,Miss,female,28.8,0,0,3.0053,,S
228,0,2,Mr,male,36.3,0,0,14.4505,,S
229,0,3,Mr,male,40.9,1,0,6.6023,,S
230,1,3,Mrs,female,15.2,0,0,15.9793,,S
231,0,3,Miss,female,32.5,1,0,27.1787,,S
232,1,3,Mrs,female,48.8,1,5,11.1497,,S
233,1,3,Miss,female,56.1,0,0,12.4804,,S
234,1,3,Miss,female,30.3,0,1,18.1248,,S
235,0,1,Mr,male,26.2,1,0,13.6597,,S
236,0,3,Mr,male,33.6,0,1,7.4627,,C
237,0,2,Mr,male,33.2,1,0,28.8931,B61,S
238,1,1,Mr,male,49.8,2,1,150.8152,,C
239,1,3,Mr,male,,0,0,18.1442,,S
240,1,1,Mrs,female,25.6,1,0,182.1832,,C
241,1,3,Mr,male,,1,0,6.0379,,S
242,0,3,Mr,male,15.0,1,0,23.481,,S
243,0,3,Mr,male,35.2,0,0,11.0849,,S
244,1,2,Mrs,female,41.4,0,0,2.4923,E64,S
245,1,1,Mr,male,20.3,0,0,94.0561,C79,Q
246,0,3,Miss,female,40.9,0,1,9.3152,E51,S
247,0,2,Mr,male,45.8,0,0,60.5888,,Q
248,0,3,Mr,male,57.8,1,0,13.5593,,S
249,0,3,Mr,male,,0,0,8.0181,,S
250,1,3,Miss,female,,0,0,12.2405,,S
251,0,2,Mr,male,15.2,0,0,11.598,C79,S
252,0,2,Miss,female,13.7,1,0,6.1649,,Q
253,0,3,Mr,male,47.8,0,2,11.4616,,S
254,0,2,Mr,male,7.7,0,1,8.5763,,S
255,1,1,Mrs,female,47.4,0,1,126.3928,D111,Q
256,1,3,Miss,female,17.1,1,0,40.4893,A72,S
257,1,3,Miss,female,19.8,0,1,8.3494,,S
258,1,3,Mrs,female,27.5,0,0,30.5364,B58,S
259,0,3,Miss,female,19.5,4,0,2.5555,,S
260,1,1,Mrs,female,43.2,1,0,135.2588,G106,S
261,1,3,Mrs,female,56.0,3,0,13.4987,A82,S
262,1,3,Miss,female,20.2,0,0,16.4299,B4,S
263,1,1,Miss,female,23.4,0,0,153.9227,,S
264,0,3,Mr,male,27.3,1,0,14.4635,,S
265,1,3,Mrs,female,37.5,0,0,2.8137,,Q
266,0,3,Mr,male,27.5,1,0,18.6047,,S
267,1,3,Miss,female,49.8,0,0,16.2545,B79,S
268,1,3,Miss,female,46.3,0,0,8.762,,S
269,0,2,Mr,male,,0,0,15.06,,S
270,1,2,Mrs,female,,0,1,29.6363,,S
271,0,3,Rev,male,51.7,0,0,13.1013,,C
272,1,3,Mr,male,22.5,0,0,8.1183,,C
273,0,3,Mrs,female,,4,0,12.2551,,S
274,0,3,Mr,male,22.0,0,0,4.4228,,S
275,1,3,Miss,female,22.3,0,1,5.8258,,S
276,1,3,Mrs,female,5.5,1,0,11.115,E113,S
277,0,3,Mr,male,10.4,0,0,10.667,,S
278,0,3,Mr,male,30.8,0,1,13.0046,C8,C
279,0,3,Mr,male,51.6,1,0,10.9627,,S
280,0,3,Mr,male,,0,0,3.5409,,Q
281,0,3,Miss,female,,1,0,30.2411,,S
282,0,2,Mr,male,54.4,1,0,36.7033,,S
283,0,2,Mr,male,,4,0,22.3411,,S
284,1,1,Rev,male,5.6,0,0,47.5651,,S
285,0,3,Mr,male,17.7,0,5,22.0614,,S
286,1,1,Miss,female,20.1,0,0,125.2598,,S
287,0,3,Mr,male,,0,0,27.6932,,S
288,1,3,Miss,female,27.8,1,0,17.3488,,S
289,0,2,Mr,male,43.5,0,2,13.2978,E49,S
290,1,3,Miss,female,11.1,0,1,16.8971,C14,C
291,0,1,Mr,male,,1,0,8.8571,,S
292,1,1,Mr,male,35.4,0,0,50.6871,,C
293,0,3,Miss,female,28.5,0,0,35.3099,D29,S
294,1,2,Mr,male,32.4,0,0,5.5224,,S
295,1,1,Mrs,female,32.6,1,0,12.7003,D116,S
296,1,3,Mrs,female,,0,0,8.9846,,S
297,1,3,Mr,male,,1,0,9.143,C44,S
298,1,1,Rev,male,47.8,0,2,129.052,,S
299,1,3,Miss,female,47.0,1,0,13.7469,A2,S
300,0,1,Mr,male,44.4,1,2,69.4675,,S
301,0,1,Mr,male,6.9,0,0,14.419,,S
302,0,3,Mr,male,,0,0,11.476,,S
303,0,3,Col,male,39.2,0,0,6.1081,,S
304,0,3,Mr,male,7.4,1,0,19.0817,E22,S
305,1,3,Mrs,female,26.6,0,0,11.7433,,C
306,0,3,Miss,female,33.7,0,0,0.6422,F58,S
307,0,3,Miss,female,53.8,0,0,26.9132,,S
308,1,2,Miss,female,40.2,0,0,6.4274,F1,S
309,0,3,Mr,male,17.2,0,1,12.5185,,S
310,0,2,Miss,female,54.3,0,0,15.3057,F61,S
311,0,2,Mr,male,30.3,0,0,24.93,D100,S
312,0,1,Mr,male,26.0,1,0,43.2363,,S
313,0,1,Master,male,,0,2,37.1928,A100,S
314,0,3,Master,male,6.2,0,0,9.6359,A31,S
315,1,3,Miss,female,28.1,3,0,29.1604,,C
316,1,3,Miss,female,36.9,1,0,3.8269,,S
317,0,2,Mr,male,24.1,2,0,17.6271,,S
318,0,1,Mr,male,35.8,0,3,86.7979,G53,S
319,0,1,Miss,female,,0,0,78.0074,,S
320,0,2,Mr,male,27.7,0,0,10.9384,,S
321,0,3,Rev,male,34.3,1,0,8.3876,,S
322,0,3,Col,male,32.5,0,0,10.0262,,S
323,0,3,Mrs,female,6.4,0,2,11.1776,B22,Q
324,1,2,Miss,female,23.3,0,0,1.8873,G23,Q
325,0,3,Mr,male,,0,0,16.9657,,S
326,0,3,Mr,male,,0,0,15.03,,Q
327,1,3,Miss,female,29.9,0,0,20.6944,,S
328,0,3,Mrs,female,28.4,0,1,1.7397,,S
329,0,2,Mr,male,52.4,0,0,21.032,,S
330,1,2,Miss,female,,4,0,15.4968,,S
331,0,2,Mr,male,41.4,1,2,19.2047,,S
332,0,3,Mr,male,15.6,2,0,9.5838,,Q
333,1,1,Miss,female,34.9,1,0,93.1381,,S
334,0,1,Mr,male,,0,0,41.2664,,S
335,0,1,Mr,male,,0,4,74.1687,E72,C
336,0,1,Mr,male,17.1,0,0,13.7356,,S
337,0,3,Mr,male,54.4,0,0,8.4356,,S
338,0,3,Miss,female,25.3,0,0,8.8006,G70,S
339,0,3,Mr,male,,0,0,0.6207,,S
340,1,1,Miss,female,44.2,0,0,75.7985,,S
341,1,3,Mr,male,35.6,0,0,14.6049,,S
342,0,3,Mr,male,36.3,0,0,8.3694,,S
343,1,1,Mr,male,9.4,0,0,116.6537,A58,Q
344,1,2,Miss,female,32.7,1,0,40.8645,,C
345,0,2,Mr,male,,0,1,58.5118,,S
346,1,3,Miss,female,39.6,0,2,3.5585,,S
347,0,3,Mr,male,31.9,0,0,16.6644,,S
348,1,1,Mrs,female,54.5,0,0,76.5844,D41,Q
349,0,2,Mr,male,27.0,0,0,16.484,D84,S
350,1,3,Mrs,female,20.7,0,0,3.5625,,S
351,1,3,Miss,female,,0,1,11.1677,,C
352,1,3,Mrs,female,40.8,0,0,0.809,,Q
353,0,3,Miss,female,,2,0,9.6497,,S
354,0,1,Mrs,female,,2,1,13.1462,,S
355,0,1,Mr,male,41.5,0,0,45.8155,,S
356,0,3,Mr,male,25.8,0,0,22.2422,,S
357,0,1,Mr,male,45.8,1,0,39.4295,G41,S
358,0,3,Miss,female,39.0,0,0,1.4958,,S
359,0,3,Mr,male,60.8,0,0,13.8287,,S
360,1,3,Miss,female,18.8,0,1,6.0932,,S
361,0,2,Master,male,41.7,2,1,59.2511,B24,S
362,0,3,Mr,male,14.9,0,0,2.4343,G27,S
363,0,3,Mr,male,6.3,0,2,59.1905,,S
364,0,3,Miss,female,0.4,1,0,7.0403,,C
365,0,3,Mr,male,37.5,0,1,6.7758,D107,S
366,0,2,Col,male,32.4,0,0,4.4236,,S
367,0,3,Master,male,22.8,4,2,14.927,,S
368,0,3,Mr,male,,0,2,0.9446,C85,S
369,0,1,Col,male,19.7,0,0,86.0567,G3,S
370,0,1,Mr,male,,0,2,127.1009,,C
371,1,1,Mrs,female,41.2,0,1,21.1781,,S
372,1,1,Master,male,29.5,0,1,197.7123,,S
373,0,1,Mr,male,33.4,0,0,33.174,,S
374,0,3,Mr,male,24.2,0,1,8.7309,C46,S
375,0,1,Mr,male,55.1,1,1,12.4097,,Q
376,0,2,Mr,male,14.9,0,0,15.0271,E52,S
377,0,3,Mr,male,19.6,0,2,15.779,,S
378,1,1,Mr,male,22.6,0,0,21.6181,,S
379,0,3,Mr,male,,1,0,12.9537,,S
380,1,2,Miss,female,,0,0,22.7791,,C
381,1,1,Miss,female,31.7,0,0,115.0846,,C
382,0,3,Miss,female,32.1,0,0,10.8124,,C
383,0,3,Mr,male,19.6,0,0,25.4938,,S
384,1,3,Col,male,34.5,0,2,3.3776,,S
385,0,3,Mr,male,,1,0,14.5545,,S
386,0,3,Mr,male,,0,0,5.8006,,S
387,1,2,Mrs,female,31.1,0,0,20.9202,,S
388,0,1,Mr,male,,0,0,73.0553,,S
389,0,3,Mr,male,0.4,1,2,5.5792,,C
390,0,3,Mr,male,37.4,0,0,10.1946,,S
391,1,3,Miss,female,44.9,0,1,5.4592,,S
392,1,2,Mr,male,,0,0,55.0907,,C
393,0,2,Dr,male,,0,0,26.4934,,S
394,0,3,Mr,male,,0,0,36.9995,C82,S
395,0,2,Master,male,13.1,0,0,7.4293,,S
396,0,3,Rev,male,9.9,0,0,1.8395,,S
397,0,3,Mr,male,40.0,0,0,14.1676,,S
398,0,2,Mr,male,29.8,0,0,21.7472,A118,S
399,0,3,Mr,male,45.1,0,1,18.3507,,S
400,0,3,Master,male,,0,0,18.4308,,S
401,0,1,Mr,male,9.4,1,0,216.9827,,Q
402,0,3,Mr,male,29.9,4,0,18.3043,,S
403,0,3,Mrs,female,35.8,4,0,4.1588,C48,S
404,0,3,Mrs,female,42.0,1,1,2.7687,C20,S
405,1,2,Rev,male,32.2,0,0,56.0121,,S
406,0,3,Mr,male,32.1,1,0,10.8838,G37,S
407,0,2,Master,male,24.1,0,2,41.2415,,S
408,1,1,Mr,male,52.8,0,0,227.53,,S
409,1,3,Mrs,female,13.7,0,0,17.8887,,S
410,1,1,Col,male,34.9,0,0,31.6875,,C
411,1,2,Mrs,female,15.4,1,0,0.8325,,S
412,0,3,Rev,male,37.5,0,1,23.8774,,S
413,0,3,Mr,male,,0,1,3.5073,,S
414,1,3,Mrs,female,40.5,2,2,3.0579,D67,C
415,1,3,Miss,female,31.3,0,0,9.8914,D81,S
416,0,2,Dr,female,55.0,0,0,15.1864,,S
417,1,2,Miss,female,25.6,1,0,20.2844,,Q
418,0,2,Mr,male,,0,0,22.0801,C24,S
419,0,3,Mrs,female,18.4,0,0,5.1772,D3,S
420,0,3,Mr,male,,0,0,3.1142,,S
421,1,3,Miss,female,31.2,0,0,26.0423,,C
422,0,3,Mr,male,7.6,1,0,19.8186,,S
423,1,1,Mrs,female,9.1,0,1,21.3343,,C
424,1,3,Rev,male,38.4,0,1,2.151,B79,S
425,0,1,Mr,male,27.6,0,0,48.5306,,S
426,0,3,Master,male,21.1,0,0,3.0007,B50,S
427,1,2,Miss,female,19.0,3,0,11.552,,C
428,1,3,Mr,male,19.6,0,1,18.9284,B74,S
429,0,2,Col,male,31.3,0,0,14.3429,,S
430,1,1,Mr,male,36.2,0,0,148.5118,,S
431,0,1,Master,male,,1,0,51.407,,C
432,0,3,Miss,female,50.2,2,0,23.0219,,S
433,0,3,Mr,male,49.2,0,0,7.3086,,S
434,1,1,Miss,female,0.4,0,1,3.1389,,S
435,1,1,Mr,male,,0,0,88.5375,,Q
436,0,3,Mr,male,45.0,1,0,1.3105,,C
437,1,1,Mrs,female,29.7,0,0,39.4834,,S
438,1,3,Mrs,female,,1,0,10.5576,,S
439,0,3,Mr,male,44.4,0,1,12.3156,,S
440,0,1,Mr,male,26.2,1,0,98.8494,B28,Q
441,1,1,Mrs,female,37.7,0,1,13.2189,,S
442,0,3,Mr,male,61.9,0,0,4.4609,F44,S
443,1,2,Mrs,female,33.4,0,0,12.4303,,S
444,1,2,Mrs,female,,0,0,24.5482,,Q
445,1,3,Miss,female,24.8,1,0,12.9014,,S
446,0,3,Mr,male,18.3,1,0,4.3562,,S
447,1,3,Miss,female,36.0,0,0,22.646,,C
448,0,3,Mr,male,18.0,0,0,2.259,,S
449,0,2,Master,male,22.8,0,0,20.8266,,S
450,0,1,Mr,male,11.1,1,1,31.8065,,Q
451,0,3,Mr,male,,0,2,19.3409,,Q
452,0,3,Miss,female,32.3,0,0,6.399,,C
453,1,2,Miss,female,0.4,0,2,91.7392,,S
454,1,3,Miss,female,33.5,0,0,263.0,,S
455,1,1,Mr,male,29.0,0,0,172.7237,,Q
456,0,3,Mr,male,,0,1,35.6688,,S
457,0,1,Mr,male,59.1,0,0,52.7865,,C
458,1,3,Dr,female,43.6,4,0,9.7028,,Q
459,1,1,Mr,male,13.8,0,0,161.3404,,S
460,1,1,Miss,female,41.9,0,1,70.1642,,C
461,0,1,Mr,male,47.7,0,1,25.7756,,C
462,1,3,Col,male,,1,0,1.9661,,S
463,0,3,Miss,female,34.9,0,0,12.6278,,S
464,0,3,Mr,male,,0,0,6.58,,S
465,1,3,Miss,female,0.4,0,0,18.8035,,S
466,0,2,Mrs,female,27.0,0,0,11.0947,,S
467,0,2,Mr,male,,0,1,52.2517,E67,S
468,0,3,Master,male,50.4,1,0,4.7747,,C
469,0,1,Mr,male,34.5,1,0,19.6157,,Q
470,0,3,Miss,female,25.4,0,0,9.5898,,S
471,1,1,Mr,male,28.4,0,0,108.2408,,S
472,0,3,Mr,male,44.5,1,2,19.9622,G77,S
473,1,1,Col,male,27.0,0,0,70.261,,Q
474,1,3,Mrs,female,19.6,1,0,35.9984,G116,S
475,0,3,Mr,male,,0,0,10.4669,,S
476,1,3,Miss,female,43.3,2,0,8.3753,,Q
477,1,1,Miss,female,36.9,1,0,87.2717,,S
478,0,3,Dr,male,30.3,2,0,3.741,,C
479,0,3,Mr,male,32.5,0,0,22.8951,,Q
480,1,3,Mrs,female,,0,0,25.8066,,Q
481,0,3,Master,male,,2,0,12.253,,S
482,1,3,Mrs,female,20.1,0,0,4.4789,C15,S
483,0,3,Mr,male,25.4,0,2,12.9247,,C
484,0,3,Rev,male,,1,0,34.8158,,S
485,1,3,Miss,female,14.1,1,0,16.394,,
486,0,3,Mr,male,19.7,2,0,19.4351,,S
487,0,1,Mr,male,11.5,0,0,134.4725,,S
488,0,2,Master,male,8.4,1,0,5.5141,,S
489,0,3,Rev,male,,1,0,9.0647,,S
490,0,3,Mr,male,20.7,0,0,18.0388,,S
491,0,3,Mr,male,55.2,0,0,2.6275,,S
492,0,3,Miss,female,25.6,0,0,24.7696,,S
493,1,2,Mr,male,48.4,0,1,4.2925,E98,S
494,1,1,Mrs,female,43.7,4,0,43.1281,,S
495,0,3,Mr,male,26.7,0,0,24.126,,S
496,1,2,Mrs,female,,1,0,14.8206,,S
497,0,3,Rev,male,33.6,4,0,12.6615,C94,S
498,1,1,Miss,female,51.6,0,0,239.1392,,S
